timestamp,distance,temperature,brightness
32590,4095,warm,73
33566,4095,warm,73
34175,4095,warm,73
35207,4095,warm,73
36208,4095,warm,73
37246,4095,warm,73
38269,4095,warm,73
38842,4095,warm,73
39467,4095,warm,73
40056,4095,warm,73
40935,4095,warm,73
41955,4095,warm,73
42989,4095,warm,73
44006,4095,warm,73
44618,4095,warm,73
45644,4095,warm,73
46666,112,cool,227
47693,4095,warm,73
48715,4095,warm,73
49738,4095,warm,73
50772,4095,warm,73
51344,4095,warm,73
51955,4095,warm,73
53015,4095,warm,73
54039,4095,warm,73
55063,4095,warm,73
56072,4095,warm,73
56705,4095,warm,73
57318,4095,warm,73
58349,4095,warm,73
59204,4095,warm,73
60171,4095,warm,73
61407,4095,warm,73
62029,4095,warm,73
62894,4095,warm,73
63856,4095,warm,73
64480,4095,warm,73
65508,4095,warm,73
66533,4095,warm,73
67556,4095,warm,73
68581,4095,warm,73
69193,4095,warm,73
70218,4095,warm,73
71236,4095,warm,73
71859,4095,warm,73
72866,4095,warm,73
73700,4095,warm,73
74313,4095,warm,73
75189,4095,warm,73
75810,4095,warm,73
76409,4095,warm,73
77374,4095,warm,73
78255,4095,warm,73
79048,4095,warm,73
80344,4095,warm,73
81177,4095,warm,73
82820,4095,warm,73
84043,4095,warm,73
84867,4095,warm,73
85736,4095,warm,73
86909,4095,warm,73
87736,4095,warm,73
88651,4095,warm,73
89675,4095,warm,73
90248,4095,warm,73
90908,4095,warm,73
91918,4095,warm,73
92560,4095,warm,73
93757,4095,warm,73
94330,4095,warm,73
94996,4095,warm,73
95581,4095,warm,73
96156,4095,warm,73
2103,4095,warm,73
3226,4095,warm,73
3968,4095,warm,73
4783,4095,warm,73
5356,4095,warm,73
6442,4095,warm,73
7643,4095,warm,73
8247,4095,warm,73
8880,4095,warm,73
9909,4095,warm,73
10523,4095,warm,73
11557,4095,warm,73
12131,4095,warm,73
13386,4095,warm,73
14415,4095,warm,73
15030,4095,warm,73
16053,229,cool,227
16667,223,cool,227
17692,4095,warm,73
18719,4095,warm,73
19336,4095,warm,73
20194,4095,warm,73
20822,4095,warm,73
21432,4095,warm,73
22390,4095,warm,73
23426,4095,warm,73
24450,165,cool,227
25478,4095,warm,73
26484,170,cool,227
27522,189,cool,227
28135,189,cool,227
29171,4095,warm,73
30170,4095,warm,73
30793,4095,warm,73
31833,4095,warm,73
32858,4095,warm,73
33871,4095,warm,73
34895,4095,warm,73
35508,4095,warm,73
36535,4095,warm,73
37151,4095,warm,73
38363,4095,warm,73
39401,4095,warm,73
40013,170,cool,227
41040,194,cool,227
42063,4095,warm,73
43089,4095,warm,73
44112,4095,warm,73
45142,4095,warm,73
46163,4095,warm,73
47185,4095,warm,73
48193,4095,warm,73
48868,4095,warm,73
49851,4095,warm,73
50870,4095,warm,73
51895,4095,warm,73
52718,4095,warm,73
53750,4095,warm,73
54602,4095,warm,73
55587,4095,warm,73
56605,4095,warm,73
57659,4095,warm,73
58656,4095,warm,73
59677,4095,warm,73
60643,4095,warm,73
61320,4095,warm,73
62339,4095,warm,73
63363,4095,warm,73
63979,4095,warm,73
65194,4095,warm,73
65806,4095,warm,73
66845,4095,warm,73
67418,4095,warm,73
68493,4095,warm,73
69096,4095,warm,73
70122,4095,warm,73
71156,4095,warm,73
72170,4095,warm,73
72752,4095,warm,73
73354,4095,warm,73
2103,4095,warm,73
6918,4095,warm,73
7953,4095,warm,73
8970,4095,warm,73
9592,4095,warm,73
10214,4095,warm,73
11630,4095,warm,73
12449,4095,warm,73
13073,4095,warm,73
13895,4095,warm,73
14919,4095,warm,73
15541,4095,warm,73
16143,4095,warm,73
16726,4095,warm,73
17786,4095,warm,73
18399,4095,warm,73
18974,4095,warm,73
19628,4095,warm,73
20686,4095,warm,73
21663,4095,warm,73
22697,4095,warm,73
23576,4095,warm,73
24338,4095,warm,73
25365,4095,warm,73
25981,4095,warm,73
26553,4095,warm,73
27617,112,cool,227
28201,128,cool,227
28821,116,cool,227
29394,124,cool,227
29977,117,cool,227
31107,4095,warm,73
32122,4095,warm,73
33146,4095,warm,73
33728,4095,warm,73
34380,4095,warm,73
35409,4095,warm,73
35991,4095,warm,73
37048,4095,warm,73
37643,4095,warm,73
38678,4095,warm,73
39890,4095,warm,73
40929,4095,warm,73
41953,128,cool,227
42539,128,cool,227
43592,131,cool,227
44173,4095,warm,73
44765,4095,warm,73
45684,4095,warm,73
46674,4095,warm,73
47256,4095,warm,73
47899,4095,warm,73
48516,4095,warm,73
